segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29186098.504,884.17,0.961,723.41,0.962,-3215.18,0.847,-3215.18,0.876,3215.18,0.774,3215.18,0.795
29186298.504,1527.21,0.913,1366.45,0.921,-3215.18,0.849,-3215.18,0.875,3215.18,0.764,3215.18,0.783
29186498.504,1929.11,0.858,2089.86,0.871,-3215.18,0.846,-3215.18,0.871,3054.42,0.769,2974.04,0.78
29186698.504,2652.52,0.809,2652.52,0.823,-3215.18,0.837,-3215.18,0.861,3215.18,0.775,3215.18,0.786
29186898.504,3215.18,0.766,3215.18,0.784,-3215.18,0.835,-3215.18,0.85,3215.18,0.774,3215.18,0.783
29187098.504,nan,0.639,3215.18,0.652,-3215.18,0.839,-3215.18,0.84,3215.18,0.779,3215.18,0.788
29187298.504,nan,0.494,nan,0.515,-3215.18,0.839,-3215.18,0.83,1205.69,0.803,723.41,0.807
29187498.504,nan,0.57,nan,0.599,-3215.18,0.829,-3215.18,0.817,2009.48,0.83,1607.59,0.843
29187698.504,nan,0.645,321.52,0.66,-2732.9,0.822,-3215.18,0.808,2813.28,0.856,1366.45,0.857
29187898.504,321.52,0.651,321.52,0.678,-1929.11,0.82,-2331.0,0.801,2491.76,0.878,2250.62,0.862
29188098.504,nan,0.537,nan,0.579,-1125.31,0.824,-1607.59,0.8,3215.18,0.893,3054.42,0.854
29188298.504,nan,0.429,nan,0.467,-803.79,0.83,-964.55,0.8,3215.18,0.897,3215.18,0.825
29188498.504,nan,0.363,nan,0.402,-562.66,0.829,-884.17,0.796,3215.18,0.885,3215.18,0.779
29188698.504,nan,0.462,nan,0.484,-241.14,0.814,-80.38,0.787,3134.8,0.863,964.55,0.729
29188898.504,nan,0.613,nan,0.615,321.52,0.791,401.9,0.769,3134.8,0.833,1286.07,0.687
29189098.504,-884.17,0.688,-964.55,0.689,321.52,0.761,1205.69,0.746,2813.28,0.788,nan,0.627
29189298.504,-643.04,0.74,-884.17,0.737,401.9,0.729,-3215.18,0.73,3215.18,0.726,nan,0.602
29189498.504,-562.66,0.775,-562.66,0.768,-3215.18,0.712,-3215.18,0.733,nan,0.63,nan,0.619
29189698.504,-562.66,0.795,-723.41,0.787,-3215.18,0.722,-2974.04,0.738,nan,0.53,321.52,0.685
29189898.504,-482.28,0.812,-562.66,0.801,-3215.18,0.736,-3215.18,0.742,nan,0.463,321.52,0.714
29190098.504,-643.04,0.835,-723.41,0.829,-2491.76,0.747,-1366.45,0.751,nan,0.374,321.52,0.763
29190298.504,-723.41,0.868,-803.79,0.865,-1687.97,0.768,-1125.31,0.768,nan,0.397,321.52,0.775
29190498.504,-562.66,0.899,-643.04,0.898,-884.17,0.796,-803.79,0.79,nan,0.432,321.52,0.728
29190698.504,0.0,0.916,0.0,0.911,-803.79,0.822,-241.14,0.813,nan,0.554,nan,0.582
29190898.504,562.66,0.919,482.28,0.913,-80.38,0.847,-80.38,0.834,-3215.18,0.759,nan,0.396
29191098.504,1286.07,0.912,1286.07,0.907,401.9,0.865,321.52,0.849,-3215.18,0.91,nan,0.563
29191298.504,2089.86,0.896,2009.48,0.894,884.17,0.874,1044.93,0.861,-3215.18,0.957,-3215.18,0.768
29191498.504,2893.66,0.882,2893.66,0.881,1527.21,0.877,1768.35,0.867,-3215.18,0.932,-3054.42,0.787
29191698.504,3215.18,0.863,3215.18,0.869,2089.86,0.88,2331.0,0.872,-2652.52,0.873,-2250.62,0.788
29191898.504,3215.18,0.805,3215.18,0.816,2652.52,0.888,3054.42,0.883,-1768.35,0.858,-1446.83,0.82
29192098.504,3215.18,0.696,3215.18,0.718,3215.18,0.906,3215.18,0.903,-1044.93,0.888,-643.04,0.881
29192298.504,643.04,0.667,723.41,0.672,3215.18,0.917,3215.18,0.912,-482.28,0.923,-241.14,0.934
29192498.504,643.04,0.653,803.79,0.66,3215.18,0.918,3215.18,0.911,-80.38,0.948,80.38,0.961
29192698.504,nan,0.647,nan,0.643,3215.18,0.905,3215.18,0.903,80.38,0.968,241.14,0.976
29192898.504,401.9,0.651,nan,0.647,3215.18,0.884,3215.18,0.894,241.14,0.974,321.52,0.984
29193098.504,160.76,0.686,80.38,0.685,3215.18,0.852,3215.18,0.88,321.52,0.966,401.9,0.976
29193298.504,-80.38,0.744,80.38,0.732,3215.18,0.805,3215.18,0.858,482.28,0.946,401.9,0.962
29193498.504,80.38,0.803,321.52,0.786,3215.18,0.729,3215.18,0.825,643.04,0.918,562.66,0.933
29193698.504,321.52,0.851,321.52,0.822,-3215.18,0.706,3215.18,0.778,1044.93,0.872,1044.93,0.878
29193898.504,401.9,0.878,321.52,0.85,-3215.18,0.779,3215.18,0.739,1527.21,0.815,1607.59,0.807
29194098.504,723.41,0.885,321.52,0.871,-3215.18,0.833,-3215.18,0.723,2089.86,0.715,2009.48,0.704
29194298.504,321.52,0.864,321.52,0.867,-3215.18,0.849,-2732.9,0.745,nan,0.561,nan,0.518
29194498.504,643.04,0.826,482.28,0.837,-2572.14,0.848,-1929.11,0.769,nan,0.394,nan,0.351
29194698.504,884.17,0.776,884.17,0.794,-1687.97,0.865,-1044.93,0.8,nan,0.554,nan,0.515
29194898.504,884.17,0.724,884.17,0.741,-884.17,0.891,-241.14,0.824,-3215.18,0.717,-2893.66,0.678
29195098.504,723.41,0.654,803.79,0.67,-241.14,0.91,401.9,0.801,-2491.76,0.773,-2411.38,0.759
29195298.504,nan,0.613,nan,0.622,401.9,0.903,1044.93,0.726,-1687.97,0.827,-1607.59,0.821
29195498.504,nan,0.603,nan,0.618,964.55,0.86,nan,0.623,-964.55,0.884,-803.79,0.88
29195698.504,nan,0.621,nan,0.643,964.55,0.789,nan,0.527,-964.55,0.93,-482.28,0.921
29195898.504,nan,0.648,321.52,0.69,884.17,0.705,nan,0.516,-401.9,0.963,-321.52,0.953
29196098.504,321.52,0.683,321.52,0.715,nan,0.64,nan,0.559,241.14,0.978,241.14,0.973
29196298.504,321.52,0.706,321.52,0.719,nan,0.615,nan,0.632,241.14,0.974,401.9,0.973
29196498.504,241.14,0.718,321.52,0.723,nan,0.621,-1286.07,0.705,321.52,0.953,482.28,0.947
29196698.504,241.14,0.756,241.14,0.726,-482.28,0.658,-964.55,0.766,562.66,0.917,643.04,0.908
29196898.504,241.14,0.819,321.52,0.784,-241.14,0.692,-723.41,0.797,562.66,0.874,723.41,0.856
29197098.504,321.52,0.885,321.52,0.838,0.0,0.722,-562.66,0.82,1125.31,0.833,1205.69,0.817
29197298.504,401.9,0.897,562.66,0.845,-241.14,0.745,-562.66,0.837,1768.35,0.779,1687.97,0.774
29197498.504,723.41,0.846,643.04,0.781,-803.79,0.776,-803.79,0.847,2009.48,0.714,2411.38,0.72
29197698.504,321.52,0.804,321.52,0.72,-1044.93,0.807,-482.28,0.845,nan,0.614,nan,0.633
29197898.504,321.52,0.82,241.14,0.742,-1044.93,0.824,-160.76,0.831,nan,0.529,nan,0.561
29198098.504,401.9,0.854,241.14,0.798,-562.66,0.816,-160.76,0.806,nan,0.533,nan,0.61
29198298.504,1044.93,0.845,482.28,0.815,-321.52,0.79,401.9,0.779,nan,0.598,321.52,0.688
29198498.504,1527.21,0.754,1044.93,0.748,-3215.18,0.76,1125.31,0.752,nan,0.639,321.52,0.739
29198698.504,nan,0.602,nan,0.626,-3215.18,0.758,1768.35,0.731,nan,0.608,321.52,0.688
29198898.504,nan,0.406,nan,0.507,-3054.42,0.763,-3215.18,0.737,nan,0.528,nan,0.585
29199098.504,nan,0.331,nan,0.454,-2250.62,0.765,-2411.38,0.745,nan,0.459,nan,0.498
29199298.504,nan,0.373,nan,0.444,-1446.83,0.773,-1607.59,0.757,nan,0.485,nan,0.462
29199498.504,nan,0.548,nan,0.477,-643.04,0.785,-803.79,0.769,nan,0.596,nan,0.562
29199698.504,-2652.52,0.675,nan,0.547,160.76,0.793,0.0,0.777,-1607.59,0.694,-1044.93,0.667
29199898.504,-2491.76,0.745,nan,0.637,321.52,0.788,-3215.18,0.773,-1527.21,0.767,-803.79,0.739
29200098.504,-2331.0,0.789,-1687.97,0.707,1044.93,0.764,-3215.18,0.766,-1044.93,0.835,-723.41,0.817
29200298.504,-2572.14,0.82,-2009.48,0.758,-3215.18,0.738,-3215.18,0.757,-562.66,0.887,-241.14,0.882
29200498.504,-3054.42,0.855,-2411.38,0.808,-3215.18,0.735,-3215.18,0.757,-321.52,0.931,0.0,0.933
29200698.504,-2652.52,0.879,-2331.0,0.853,-3215.18,0.743,-3215.18,0.763,0.0,0.968,241.14,0.968
29200898.504,-1929.11,0.898,-1768.35,0.891,-3215.18,0.768,-3215.18,0.78,241.14,0.984,321.52,0.987
29201098.504,-1286.07,0.919,-1527.21,0.923,-3215.18,0.806,-3215.18,0.806,321.52,0.972,401.9,0.981
29201298.504,-643.04,0.933,-723.41,0.947,-3215.18,0.84,-3215.18,0.827,482.28,0.941,482.28,0.962
29201498.504,0.0,0.939,0.0,0.954,-3215.18,0.856,-3215.18,0.836,723.41,0.899,723.41,0.928
29201698.504,562.66,0.94,562.66,0.95,-3215.18,0.858,-3215.18,0.836,1125.31,0.853,1125.31,0.88
29201898.504,1125.31,0.934,964.55,0.937,-3215.18,0.861,-3215.18,0.836,1768.35,0.805,1446.83,0.825
29202098.504,1527.21,0.918,1205.69,0.909,-3215.18,0.864,-3054.42,0.835,2170.24,0.733,2009.48,0.738
29202298.504,2009.48,0.886,1446.83,0.87,-3054.42,0.861,-2250.62,0.834,nan,0.642,nan,0.599
29202498.504,2250.62,0.847,1527.21,0.833,-2250.62,0.855,-1527.21,0.835,nan,0.554,nan,0.491
29202698.504,2572.14,0.81,1848.73,0.784,-1446.83,0.847,-723.41,0.837,nan,0.571,nan,0.486
29202898.504,2652.52,0.77,1446.83,0.731,-723.41,0.845,-321.52,0.842,nan,0.636,nan,0.565
29203098.504,2652.52,0.713,1527.21,0.689,-80.38,0.85,321.52,0.852,-241.14,0.746,241.14,0.715
29203298.504,1527.21,0.653,nan,0.62,562.66,0.859,1044.93,0.866,160.76,0.847,321.52,0.834
29203498.504,nan,0.554,nan,0.515,1366.45,0.87,1848.73,0.882,160.76,0.909,321.52,0.805
29203698.504,nan,0.443,nan,0.43,2170.24,0.885,2652.52,0.901,241.14,0.888,321.52,0.68
29203898.504,nan,0.397,nan,0.435,2732.9,0.902,3215.18,0.92,723.41,0.81,nan,0.559
29204098.504,nan,0.448,nan,0.507,3215.18,0.917,3215.18,0.928,1286.07,0.735,nan,0.476
29204298.504,nan,0.545,nan,0.591,3215.18,0.925,3215.18,0.924,nan,0.645,nan,0.427
29204498.504,nan,0.623,nan,0.622,3215.18,0.916,3215.18,0.905,nan,0.55,nan,0.562
29204698.504,-80.38,0.658,nan,0.622,3215.18,0.895,3215.18,0.874,nan,0.598,-1125.31,0.673
29204898.504,-80.38,0.674,nan,0.648,3215.18,0.869,3215.18,0.84,-321.52,0.665,-803.79,0.749
29205098.504,-80.38,0.695,-80.38,0.686,3215.18,0.843,3215.18,0.805,-80.38,0.73,-482.28,0.803
29205298.504,80.38,0.707,0.0,0.72,3215.18,0.808,3215.18,0.748,0.0,0.771,-160.76,0.831
29205498.504,-964.55,0.754,-562.66,0.768,3215.18,0.716,nan,0.598,160.76,0.795,-241.14,0.848
29205698.504,-1044.93,0.815,-1044.93,0.84,nan,0.531,nan,0.401,0.0,0.818,-241.14,0.864
29205898.504,-803.79,0.853,-482.28,0.873,nan,0.376,nan,0.362,-80.38,0.839,-160.76,0.874
29206098.504,-241.14,0.876,80.38,0.892,nan,0.517,nan,0.443,-80.38,0.854,-80.38,0.878
29206298.504,321.52,0.89,723.41,0.911,-3215.18,0.657,nan,0.575,241.14,0.848,321.52,0.863
29206498.504,803.79,0.892,1044.93,0.909,-2170.24,0.747,-1125.31,0.695,562.66,0.812,803.79,0.828
29206698.504,1286.07,0.881,1607.59,0.887,-1366.45,0.842,-1205.69,0.796,1286.07,0.759,1527.21,0.785
29206898.504,1687.97,0.864,2331.0,0.84,-643.04,0.912,-884.17,0.874,-3215.18,0.716,2411.38,0.741
29207098.504,1687.97,0.852,3134.8,0.791,-401.9,0.95,-482.28,0.923,-3215.18,0.748,3215.18,0.715
29207298.504,2491.76,0.854,2732.9,0.762,160.76,0.971,0.0,0.954,-3215.18,0.774,-3215.18,0.737
29207498.504,3215.18,0.848,3215.18,0.723,401.9,0.966,401.9,0.963,-3215.18,0.794,-3215.18,0.758
29207698.504,3134.8,0.801,nan,0.612,723.41,0.937,643.04,0.941,-3215.18,0.81,-3215.18,0.775
29207898.504,1125.31,0.696,nan,0.644,723.41,0.898,401.9,0.905,-3215.18,0.822,-2813.28,0.786
29208098.504,884.17,0.675,321.52,0.697,723.41,0.854,643.04,0.864,-3215.18,0.829,-1527.21,0.791
29208298.504,nan,0.624,321.52,0.722,723.41,0.82,562.66,0.835,-3215.18,0.829,-1044.93,0.794
29208498.504,nan,0.536,321.52,0.661,803.79,0.786,884.17,0.8,-3215.18,0.823,-401.9,0.795
29208698.504,nan,0.429,nan,0.559,1366.45,0.745,1205.69,0.761,-2893.66,0.809,-803.79,0.791
29208898.504,nan,0.346,nan,0.485,1446.83,0.673,1607.59,0.693,-1848.73,0.798,-643.04,0.792
29209098.504,nan,0.374,nan,0.473,nan,0.579,nan,0.606,-1044.93,0.783,-80.38,0.787
29209298.504,nan,0.625,nan,0.629,nan,0.542,nan,0.556,-321.52,0.768,321.52,0.777
29209498.504,-723.41,0.766,-482.28,0.774,nan,0.557,nan,0.542,-3215.18,0.76,643.04,0.766
29209698.504,-401.9,0.859,-160.76,0.851,nan,0.59,nan,0.567,-3215.18,0.757,1366.45,0.759
29209898.504,0.0,0.915,80.38,0.88,nan,0.607,nan,0.585,-2411.38,0.755,2170.24,0.758
29210098.504,241.14,0.932,241.14,0.864,nan,0.632,nan,0.601,-1607.59,0.76,3054.42,0.76
29210298.504,321.52,0.929,321.52,0.846,-321.52,0.676,-401.9,0.657,-803.79,0.775,3215.18,0.771
29210498.504,321.52,0.936,241.14,0.855,-241.14,0.736,-241.14,0.718,0.0,0.801,3215.18,0.785
29210698.504,321.52,0.951,241.14,0.894,0.0,0.791,-80.38,0.767,643.04,0.833,1044.93,0.82
29210898.504,321.52,0.965,241.14,0.937,80.38,0.804,0.0,0.802,1205.69,0.86,1848.73,0.851
29211098.504,401.9,0.966,321.52,0.962,241.14,0.801,160.76,0.817,1848.73,0.882,2411.38,0.878
29211298.504,723.41,0.935,562.66,0.939,321.52,0.804,321.52,0.83,2652.52,0.897,2652.52,0.898
29211498.504,1125.31,0.869,964.55,0.873,321.52,0.805,321.52,0.84,3054.42,0.907,3215.18,0.908
29211698.504,1527.21,0.743,1125.31,0.743,241.14,0.842,321.52,0.868,3134.8,0.907,3134.8,0.907
29211898.504,nan,0.568,nan,0.573,241.14,0.903,321.52,0.913,2893.66,0.903,3215.18,0.895
29212098.504,nan,0.411,nan,0.487,321.52,0.93,321.52,0.933,3215.18,0.9,3215.18,0.888
29212298.504,nan,0.409,nan,0.54,482.28,0.902,562.66,0.904,3215.18,0.897,3215.18,0.878
29212498.504,nan,0.541,321.52,0.674,723.41,0.826,884.17,0.831,3215.18,0.888,3215.18,0.868
29212698.504,321.52,0.749,321.52,0.813,884.17,0.713,964.55,0.723,3215.18,0.855,3215.18,0.83
29212898.504,401.9,0.825,562.66,0.815,nan,0.609,nan,0.627,3215.18,0.806,3215.18,0.769
29213098.504,562.66,0.718,723.41,0.652,nan,0.547,nan,0.543,3215.18,0.719,3215.18,0.664
29213298.504,nan,0.597,nan,0.511,nan,0.541,nan,0.508,nan,0.548,nan,0.413
29213498.504,nan,0.571,nan,0.495,-160.76,0.678,nan,0.637,nan,0.258,nan,0.202
29213698.504,nan,0.588,nan,0.547,241.14,0.738,0.0,0.718,nan,0.288,nan,0.232
29213898.504,nan,0.631,nan,0.614,321.52,0.74,321.52,0.739,nan,0.363,nan,0.344
29214098.504,-241.14,0.709,241.14,0.683,-3215.18,0.748,-3215.18,0.754,nan,0.539,nan,0.535
29214298.504,241.14,0.755,80.38,0.749,-3215.18,0.748,-3215.18,0.74,nan,0.645,nan,0.65
29214498.504,321.52,0.757,321.52,0.768,-3215.18,0.756,-3215.18,0.747,-2250.62,0.731,-2572.14,0.719
29214698.504,321.52,0.73,321.52,0.749,-3215.18,0.767,-3215.18,0.755,-1446.83,0.765,-3134.8,0.754
29214898.504,-884.17,0.746,241.14,0.75,-1446.83,0.805,-1607.59,0.78,-1205.69,0.791,-2331.0,0.794
29215098.504,-562.66,0.757,241.14,0.771,-643.04,0.835,-803.79,0.815,-1768.35,0.844,-1687.97,0.848
29215298.504,-3215.18,0.749,241.14,0.756,-80.38,0.843,-321.52,0.832,-1125.31,0.906,-1125.31,0.902
29215498.504,-3215.18,0.775,241.14,0.712,401.9,0.826,241.14,0.823,-723.41,0.952,-723.41,0.941
29215698.504,-3215.18,0.766,-3215.18,0.664,321.52,0.787,321.52,0.796,160.76,0.968,-80.38,0.95
29215898.504,-3215.18,0.766,-3215.18,0.66,321.52,0.742,321.52,0.765,241.14,0.949,321.52,0.935
29216098.504,-3215.18,0.768,-3215.18,0.683,241.14,0.726,-241.14,0.754,321.52,0.903,401.9,0.892
29216298.504,-3215.18,0.785,-3215.18,0.733,-643.04,0.74,-482.28,0.771,884.17,0.826,643.04,0.819
29216498.504,-3215.18,0.812,-3215.18,0.793,-482.28,0.748,-241.14,0.778,1687.97,0.743,884.17,0.742
29216698.504,-3215.18,0.845,-3215.18,0.843,-160.76,0.719,0.0,0.748,2652.52,0.662,1366.45,0.655
29216898.504,-3215.18,0.868,-3215.18,0.879,-3215.18,0.747,-3215.18,0.736,nan,0.562,nan,0.564
29217098.504,-2813.28,0.864,-2974.04,0.876,-3215.18,0.8,-3215.18,0.78,nan,0.509,nan,0.571
29217298.504,-1687.97,0.872,-1366.45,0.863,-3215.18,0.851,-3215.18,0.825,nan,0.604,-3215.18,0.686
29217498.504,-723.41,0.901,-562.66,0.908,-3215.18,0.872,-3215.18,0.855,-3215.18,0.696,-3215.18,0.763
29217698.504,-160.76,0.935,-80.38,0.942,-3215.18,0.866,-3215.18,0.858,-2250.62,0.772,-2491.76,0.802
29217898.504,321.52,0.957,321.52,0.964,-3215.18,0.858,-3215.18,0.856,-1366.45,0.835,-1446.83,0.84
29218098.504,643.04,0.952,562.66,0.957,-3215.18,0.856,-3215.18,0.86,-643.04,0.888,-964.55,0.885
29218298.504,884.17,0.898,643.04,0.902,-2411.38,0.852,-3134.8,0.856,-241.14,0.939,-241.14,0.932
29218498.504,1205.69,0.797,723.41,0.786,-1607.59,0.851,-2250.62,0.85,241.14,0.982,80.38,0.959
29218698.504,884.17,0.681,562.66,0.672,-1205.69,0.854,-1446.83,0.851,321.52,0.964,401.9,0.954
29218898.504,nan,0.59,nan,0.583,-562.66,0.858,-723.41,0.855,321.52,0.911,482.28,0.901
29219098.504,nan,0.522,nan,0.518,-160.76,0.857,-482.28,0.856,482.28,0.853,643.04,0.845
29219298.504,nan,0.492,nan,0.479,401.9,0.842,321.52,0.847,803.79,0.805,964.55,0.797
29219498.504,nan,0.516,nan,0.509,884.17,0.811,884.17,0.824,723.41,0.763,803.79,0.766
29219698.504,nan,0.625,nan,0.604,1607.59,0.763,1527.21,0.785,643.04,0.704,562.66,0.735
29219898.504,-1205.69,0.718,-1125.31,0.707,2331.0,0.72,2331.0,0.749,nan,0.647,1044.93,0.709
29220098.504,-803.79,0.77,-803.79,0.761,3134.8,0.689,3134.8,0.721,nan,0.601,562.66,0.697
29220298.504,-562.66,0.802,-482.28,0.788,-3215.18,0.713,-3215.18,0.691,nan,0.53,723.41,0.676
29220498.504,-401.9,0.815,-482.28,0.798,-3215.18,0.751,-3215.18,0.725,nan,0.552,401.9,0.662
29220698.504,-1205.69,0.839,-1446.83,0.827,-3215.18,0.788,-3215.18,0.766,0.0,0.69,321.52,0.706
29220898.504,-1366.45,0.867,-1446.83,0.863,-3215.18,0.824,-3215.18,0.805,160.76,0.81,321.52,0.789
29221098.504,-723.41,0.885,-964.55,0.881,-3215.18,0.851,-3215.18,0.837,241.14,0.863,321.52,0.879
29221298.504,-160.76,0.889,-241.14,0.886,-3215.18,0.865,-3215.18,0.856,241.14,0.835,321.52,0.913
29221498.504,562.66,0.89,321.52,0.887,-3215.18,0.868,-3215.18,0.862,241.14,0.749,401.9,0.88
29221698.504,1205.69,0.886,1044.93,0.882,-3215.18,0.866,-3215.18,0.864,nan,0.615,803.79,0.75
29221898.504,2009.48,0.884,1768.35,0.877,-3215.18,0.861,-3215.18,0.862,nan,0.523,nan,0.546
29222098.504,2893.66,0.89,2652.52,0.881,-3215.18,0.853,-3215.18,0.855,nan,0.635,nan,0.337
29222298.504,3215.18,0.9,3215.18,0.893,-3215.18,0.838,-3215.18,0.84,-3215.18,0.722,nan,0.401
29222498.504,3215.18,0.895,3215.18,0.895,-3215.18,0.822,-3215.18,0.824,-3215.18,0.807,nan,0.605
29222698.504,3215.18,0.873,3215.18,0.885,-3215.18,0.81,-3215.18,0.81,-3215.18,0.898,-3215.18,0.775
29222898.504,3215.18,0.824,3215.18,0.859,-3215.18,0.8,-3215.18,0.802,-3215.18,0.934,-3215.18,0.864
29223098.504,1929.11,0.768,3215.18,0.822,-2572.14,0.794,-2813.28,0.795,-3215.18,0.925,-3215.18,0.88
29223298.504,2491.76,0.719,2572.14,0.804,-1687.97,0.797,-2009.48,0.794,-3215.18,0.924,-3215.18,0.887
29223498.504,2813.28,0.654,2893.66,0.777,-964.55,0.804,-1205.69,0.798,-3215.18,0.928,-3215.18,0.908
29223698.504,nan,0.491,3215.18,0.673,-241.14,0.813,-401.9,0.803,-3215.18,0.932,-3215.18,0.926
29223898.504,nan,0.55,nan,0.463,321.52,0.825,321.52,0.811,-3215.18,0.929,-3215.18,0.935
29224098.504,-401.9,0.689,nan,0.572,964.55,0.836,964.55,0.818,-3215.18,0.92,-3215.18,0.932
29224298.504,0.0,0.807,0.0,0.699,1607.59,0.847,1687.97,0.826,-3215.18,0.911,-3215.18,0.926
29224498.504,241.14,0.903,321.52,0.8,2331.0,0.861,2491.76,0.835,-3215.18,0.903,-3215.18,0.917
29224698.504,321.52,0.949,321.52,0.849,3134.8,0.876,3215.18,0.847,-3215.18,0.894,-3215.18,0.909
29224898.504,321.52,0.964,321.52,0.861,3215.18,0.887,3215.18,0.856,-3215.18,0.887,-3215.18,0.904
29225098.504,321.52,0.955,321.52,0.84,3215.18,0.887,3215.18,0.854,-3215.18,0.884,-3215.18,0.902
29225298.504,321.52,0.945,321.52,0.823,3215.18,0.877,3215.18,0.842,-3215.18,0.879,-3215.18,0.898
29225498.504,401.9,0.929,321.52,0.819,3215.18,0.858,3215.18,0.824,-3215.18,0.872,-3215.18,0.891
29225698.504,803.79,0.902,562.66,0.807,3215.18,0.831,3215.18,0.801,-2893.66,0.86,-3215.18,0.88
29225898.504,1205.69,0.843,884.17,0.776,3215.18,0.794,3215.18,0.772,-2331.0,0.852,-2813.28,0.865
29226098.504,1607.59,0.734,964.55,0.693,3215.18,0.748,3215.18,0.741,-1607.59,0.851,-2009.48,0.858
29226298.504,nan,0.567,nan,0.589,3215.18,0.704,3215.18,0.713,-964.55,0.854,-1366.45,0.855
29226498.504,nan,0.367,nan,0.495,-3134.8,0.726,-3134.8,0.74,-321.52,0.853,-643.04,0.849
29226698.504,nan,0.284,nan,0.443,-2170.24,0.761,-2331.0,0.765,401.9,0.849,-241.14,0.841
29226898.504,nan,0.355,nan,0.417,-1366.45,0.8,-1446.83,0.794,1205.69,0.844,482.28,0.83
29227098.504,nan,0.5,nan,0.487,-723.41,0.84,-723.41,0.825,1929.11,0.839,1205.69,0.819
29227298.504,nan,0.629,nan,0.573,-80.38,0.877,0.0,0.856,2652.52,0.838,1929.11,0.81
29227498.504,-2893.66,0.716,-2089.86,0.652,401.9,0.9,482.28,0.882,3215.18,0.842,2652.52,0.807
29227698.504,-2572.14,0.776,-2491.76,0.725,964.55,0.907,1125.31,0.899,3215.18,0.846,3215.18,0.807
29227898.504,-2009.48,0.818,-2009.48,0.784,1527.21,0.894,1687.97,0.902,3215.18,0.843,3215.18,0.805
29228098.504,-1687.97,0.848,-1607.59,0.825,1848.73,0.862,2250.62,0.891,3215.18,0.835,3215.18,0.799
29228298.504,-1366.45,0.875,-1286.07,0.856,2089.86,0.813,2732.9,0.867,3215.18,0.822,3215.18,0.786
29228498.504,-1125.31,0.901,-1125.31,0.888,1929.11,0.755,2893.66,0.833,3215.18,0.804,3215.18,0.771
29228698.504,-643.04,0.924,-803.79,0.918,1286.07,0.702,2732.9,0.783,3215.18,0.784,3215.18,0.754
29228898.504,-321.52,0.94,-321.52,0.94,1125.31,0.67,1848.73,0.735,3215.18,0.765,3215.18,0.741
29229098.504,241.14,0.945,160.76,0.948,nan,0.65,1687.97,0.688,3215.18,0.747,-3215.18,0.749
29229298.504,803.79,0.941,643.04,0.947,nan,0.648,nan,0.645,-3215.18,0.74,-3215.18,0.763
29229498.504,1125.31,0.932,964.55,0.939,562.66,0.669,nan,0.617,-2732.9,0.752,-3134.8,0.77
29229698.504,1527.21,0.922,1687.97,0.927,401.9,0.707,nan,0.609,-1929.11,0.766,-2652.52,0.773
29229898.504,2170.24,0.917,2089.86,0.917,321.52,0.763,nan,0.636,-1125.31,0.785,-1848.73,0.783
29230098.504,2813.28,0.921,2572.14,0.916,321.52,0.819,401.9,0.707,-321.52,0.808,-723.41,0.799
29230298.504,3215.18,0.932,3215.18,0.922,321.52,0.855,401.9,0.793,401.9,0.836,-160.76,0.818
29230498.504,3215.18,0.94,3215.18,0.927,562.66,0.853,482.28,0.852,1125.31,0.861,562.66,0.842
29230698.504,3215.18,0.917,3215.18,0.906,643.04,0.816,562.66,0.851,1607.59,0.881,1286.07,0.863
29230898.504,3215.18,0.853,3215.18,0.853,803.79,0.753,803.79,0.78,2089.86,0.889,1687.97,0.884
29231098.504,3215.18,0.746,3215.18,0.762,1286.07,0.67,884.17,0.657,2491.76,0.886,2331.0,0.9
29231298.504,nan,0.603,nan,0.623,nan,0.567,nan,0.51,2572.14,0.867,2893.66,0.911
29231498.504,nan,0.466,nan,0.479,-3215.18,0.658,nan,0.63,2893.66,0.829,3215.18,0.919
29231698.504,nan,0.615,nan,0.594,-3215.18,0.749,-3215.18,0.759,2732.9,0.775,3215.18,0.919
29231898.504,-723.41,0.741,-482.28,0.729,-3215.18,0.828,-3215.18,0.854,2491.76,0.704,3215.18,0.909
29232098.504,-321.52,0.836,-160.76,0.836,-3215.18,0.875,-3215.18,0.906,nan,0.62,3215.18,0.89
29232298.504,80.38,0.897,241.14,0.901,-2331.0,0.889,-2813.28,0.897,nan,0.522,3215.18,0.861
29232498.504,321.52,0.918,321.52,0.928,-1527.21,0.898,-2009.48,0.899,nan,0.525,3215.18,0.814
29232698.504,401.9,0.909,401.9,0.918,-723.41,0.905,-1205.69,0.913,-3215.18,0.734,3215.18,0.704
29232898.504,401.9,0.891,401.9,0.896,-160.76,0.905,-482.28,0.932,-3215.18,0.847,nan,0.483
29233098.504,401.9,0.869,401.9,0.871,321.52,0.896,0.0,0.946,-3215.18,0.9,nan,0.551
29233298.504,401.9,0.854,401.9,0.845,562.66,0.87,321.52,0.946,-3215.18,0.918,-2652.52,0.691
29233498.504,643.04,0.843,723.41,0.82,562.66,0.837,401.9,0.933,-3215.18,0.916,-2089.86,0.774
29233698.504,964.55,0.814,1044.93,0.781,482.28,0.804,482.28,0.907,-3215.18,0.908,-2089.86,0.816
