segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29150898.504,-2170.24,0.741,-2170.24,0.769,-2652.52,0.842,-2652.52,0.861,-3215.18,0.879,-3215.18,0.874
29151098.504,-1366.45,0.766,-1446.83,0.789,-1929.11,0.83,-1848.73,0.848,-2652.52,0.878,-2411.38,0.879
29151298.504,-803.79,0.794,-964.55,0.814,-1205.69,0.818,-1044.93,0.834,-1929.11,0.871,-1848.73,0.877
29151498.504,-643.04,0.825,-482.28,0.843,-401.9,0.807,-401.9,0.821,-1125.31,0.855,-1044.93,0.864
29151698.504,-241.14,0.854,-321.52,0.868,321.52,0.799,-80.38,0.811,-321.52,0.841,-241.14,0.852
29151898.504,-160.76,0.876,-80.38,0.883,1205.69,0.794,643.04,0.805,321.52,0.833,401.9,0.845
29152098.504,0.0,0.884,0.0,0.89,2009.48,0.795,1446.83,0.805,1044.93,0.827,1205.69,0.836
29152298.504,401.9,0.883,401.9,0.883,2652.52,0.801,2250.62,0.81,1848.73,0.829,2170.24,0.838
29152498.504,884.17,0.872,884.17,0.872,3054.42,0.811,3054.42,0.821,2652.52,0.841,2813.28,0.853
29152698.504,1286.07,0.857,1366.45,0.855,3215.18,0.819,3215.18,0.833,3215.18,0.855,3215.18,0.867
29152898.504,2009.48,0.844,2170.24,0.843,3215.18,0.825,3215.18,0.841,3215.18,0.865,3215.18,0.873
29153098.504,2893.66,0.844,2974.04,0.845,3215.18,0.827,3215.18,0.848,3215.18,0.881,3215.18,0.886
29153298.504,3215.18,0.847,3215.18,0.848,3215.18,0.825,3215.18,0.851,3215.18,0.895,3215.18,0.9
29153498.504,3215.18,0.826,3215.18,0.828,3215.18,0.82,3215.18,0.848,3215.18,0.905,3215.18,0.908
29153698.504,3215.18,0.789,3215.18,0.792,3215.18,0.811,3215.18,0.84,3215.18,0.907,3215.18,0.913
29153898.504,3215.18,0.757,3215.18,0.764,3215.18,0.796,3215.18,0.824,3215.18,0.906,3215.18,0.914
29154098.504,-3215.18,0.733,3215.18,0.733,3215.18,0.78,3215.18,0.805,3215.18,0.88,3215.18,0.887
29154298.504,-3215.18,0.76,-3215.18,0.754,3215.18,0.759,3215.18,0.779,3215.18,0.833,3215.18,0.841
29154498.504,-3215.18,0.778,-3215.18,0.774,3215.18,0.735,3215.18,0.745,3215.18,0.764,3215.18,0.771
29154698.504,-3215.18,0.793,-3215.18,0.792,-3215.18,0.756,-3215.18,0.74,3215.18,0.661,3215.18,0.667
29154898.504,-3215.18,0.808,-3215.18,0.807,-3215.18,0.779,-3215.18,0.775,-3215.18,0.704,-3215.18,0.693
29155098.504,-3215.18,0.822,-3215.18,0.823,-3215.18,0.792,-3215.18,0.802,-3215.18,0.803,-3215.18,0.802
29155298.504,-3215.18,0.823,-3215.18,0.826,-3215.18,0.799,-3215.18,0.82,-3215.18,0.873,-3215.18,0.879
29155498.504,-3215.18,0.817,-3215.18,0.823,-2974.04,0.798,-3215.18,0.828,-3215.18,0.886,-3215.18,0.887
29155698.504,-3215.18,0.812,-3215.18,0.818,-2170.24,0.799,-3215.18,0.824,-2572.14,0.882,-2411.38,0.881
29155898.504,-3215.18,0.808,-3215.18,0.818,-1366.45,0.805,-2411.38,0.824,-1768.35,0.896,-1687.97,0.898
29156098.504,-3215.18,0.805,-3215.18,0.817,-562.66,0.818,-1607.59,0.83,-1044.93,0.906,-964.55,0.904
29156298.504,-3215.18,0.802,-3215.18,0.811,241.14,0.835,-884.17,0.842,-482.28,0.92,-321.52,0.922
29156498.504,-2652.52,0.794,-2652.52,0.804,723.41,0.852,-160.76,0.857,160.76,0.934,80.38,0.937
29156698.504,-1848.73,0.794,-1929.11,0.802,1125.31,0.872,321.52,0.874,321.52,0.938,401.9,0.941
29156898.504,-1366.45,0.804,-1125.31,0.811,1687.97,0.89,1044.93,0.89,321.52,0.937,321.52,0.94
29157098.504,-803.79,0.824,-321.52,0.83,1929.11,0.902,1446.83,0.902,964.55,0.929,723.41,0.936
29157298.504,0.0,0.849,-80.38,0.854,2491.76,0.91,2089.86,0.91,1125.31,0.919,884.17,0.925
29157498.504,723.41,0.872,643.04,0.875,3134.8,0.912,2732.9,0.913,1687.97,0.903,1366.45,0.91
29157698.504,1286.07,0.89,1446.83,0.889,3134.8,0.914,3054.42,0.915,1929.11,0.89,1687.97,0.892
29157898.504,1848.73,0.903,1768.35,0.902,3215.18,0.913,3215.18,0.916,2411.38,0.887,2411.38,0.883
29158098.504,2491.76,0.905,2491.76,0.905,3215.18,0.904,3215.18,0.91,3215.18,0.9,3215.18,0.892
29158298.504,3134.8,0.896,3054.42,0.899,3215.18,0.878,3215.18,0.893,3215.18,0.918,3215.18,0.921
29158498.504,3215.18,0.882,3215.18,0.885,3215.18,0.82,3215.18,0.853,3215.18,0.93,3215.18,0.909
29158698.504,3215.18,0.842,3215.18,0.852,3215.18,0.716,3215.18,0.778,3215.18,0.865,3215.18,0.819
29158898.504,3215.18,0.777,3215.18,0.794,nan,0.523,nan,0.641,3215.18,0.772,3215.18,0.717
29159098.504,3215.18,0.688,3215.18,0.711,-3215.18,0.708,-3215.18,0.683,nan,0.595,nan,0.522
29159298.504,nan,0.552,nan,0.581,-3215.18,0.819,-3215.18,0.803,nan,0.42,nan,0.464
29159498.504,nan,0.591,nan,0.607,-3054.42,0.867,-3215.18,0.862,nan,0.406,nan,0.461
29159698.504,-3215.18,0.724,-3215.18,0.738,-2331.0,0.88,-3215.18,0.876,nan,0.46,nan,0.534
29159898.504,-3215.18,0.785,-3215.18,0.799,-1929.11,0.885,-2411.38,0.881,nan,0.562,nan,0.597
29160098.504,-2652.52,0.821,-3134.8,0.829,-1527.21,0.891,-1848.73,0.879,241.14,0.68,321.52,0.709
29160298.504,-2331.0,0.853,-2331.0,0.86,-1125.31,0.895,-1687.97,0.88,241.14,0.765,321.52,0.767
29160498.504,-1687.97,0.875,-1768.35,0.879,-723.41,0.897,-1286.07,0.881,321.52,0.723,321.52,0.672
29160698.504,-1205.69,0.886,-1125.31,0.886,-241.14,0.893,-723.41,0.875,nan,0.588,nan,0.551
29160898.504,-1044.93,0.887,-1125.31,0.887,241.14,0.882,-241.14,0.865,-3215.18,0.68,-3215.18,0.689
29161098.504,-643.04,0.881,-482.28,0.876,723.41,0.87,321.52,0.854,-3215.18,0.754,-3215.18,0.757
29161298.504,0.0,0.866,-80.38,0.86,1205.69,0.859,803.79,0.843,-3215.18,0.799,-3215.18,0.824
29161498.504,482.28,0.852,482.28,0.847,1929.11,0.853,1607.59,0.838,-3215.18,0.81,-3215.18,0.845
29161698.504,1205.69,0.844,964.55,0.839,2652.52,0.857,2411.38,0.84,-3215.18,0.817,-3215.18,0.838
29161898.504,1768.35,0.842,1527.21,0.839,3215.18,0.876,3215.18,0.853,-2089.86,0.823,-2652.52,0.833
